"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4980586750953","51.3171046847517","49.2788365549403","52.1535197540249","55.5966216567767","56.9711012233397","58.3243964896276","54.9189324278506","53.7569598500148","53.3627229073678","52.671559796448","49.62398529637","51.6281668025485","55.0970714797604","51.8345420279829","53.5525167297061","58.5208633093525","61.1967938087341","57.2900476309852","58.1687440076702","57.2442396313364","54.8258919034394","60.8770858770859","70.7243460764588","73.7228324374854","69.2068361086766","75.3625743883624","71.239991343865","73.2932742989669","78.972602739726","87.9358379062896","87.7099710384774","","",
"Afghanistan","AFG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","13.4504123894373","14.5344127789343","17.1951216017252","14.464495500823","16.6888879617284","15.5739518818132","11.2079367747921","9.34262901059774","13.2904527518499","15.2870658843754","13.2033209985099","14.0364241712093","18.3537613659268","18.1839750816708","16.5922684859783","16.9945543576289","19.5465216541456","21.6490588241804","22.5257231624509","24.5423892365334","28.8571609170968","31.6095525701839","","","","","","","","","","","","","","","","","","","","","","","","","23.3438645266527","23.833664421484","29.5122807993009","33.0609569578245","35.3505617153186","36.6242278045429","32.9136922701029","32.6820168994225","34.2095967895183","33.9280526549766","34.637390763212","34.4482104737798","34.6997263600201","",
"Angola","AGO","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4871300806511","27.5775740909858","22.6154835724704","24.4370429180687","22.8493546482441","17.2805558862873","21.1357136613316","16.0498827420693","13.5083667630911","13.5536455017283","13.2998188926253","16.2733257364948","20.4468711883162","31.5205040229911","45.6081702240163","34.7747506786498","34.9788721217253","31.5177316359242","33.3315485334413","35.6755532005176","40.9446603582188","39.1623070536942","32.1865209224197","29.3718483619113","",
"Albania","ALB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7649557954901","48.4436391664471","46.2233527165835","59.9252261168697","62.2389428606448","66.0222684887908","65.4631716237098","69.8224896348845","66.8522496380457","65.4423604741573","68.2204083047736","71.4176137981592","76.3656692620705","78.4658951701192","75.4805297617221","76.1816122360395","79.0774408278857","82.279731434774","84.2887713905238","85.1063104835208","85.6508302419953","84.7921963012481","85.8049512728917","81.6699057417264","77.5108579306537","",
"Andorra","AND","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","22.0737099987733","22.1968741472491","22.1687565698815","23.3097643123041","24.2472207282899","29.9691679526568","31.6193923069229","33.7882943298983","32.3783970760247","32.6339245472717","31.3358850151583","29.553075867884","32.1085780305088","32.3970979978134","21.6273077599068","25.8448142353065","27.1184138844312","29.9752214219016","34.7256816875886","30.8023465339379","28.2805546847236","31.235621276988","38.6224219894311","46.0969486066869","50.2997823837403","54.7191179675869","60.971240367788","61.5428028690373","63.4511414441559","59.022343820238","52.5128433543566","54.1823463959576","53.7854319554384","55.4432951084369","55.4357529432151","54.0655758824971","52.1362665730212","52.7811175476818","58.2612509101516","57.4484364916104","53.8376055866597","60.8654737723939","64.1248945181987","63.1920432762713","59.4364874476739","55.8425243492467","56.5053028175324","60.9207826234809","57.6823162738741","72.6472489653662","67.338517225332","62.7987136751975","61.0861824257944","65.8511081903904","70.626155000213","81.4641443284444","87.0745632895876","83.9846249676052","","",
"United Arab Emirates","ARE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","15.1256152144462","22.0584324103698","16.0065717640757","19.0955117827925","15.2940485282886","14.5551169898168","16.0646703809434","19.6587244087127","23.1284087799352","30.5385171719541","33.4682937956204","41.7923551646376","41.1322986621147","43.6713775081101","41.5115163778265","31.1661517797179","35.1094859655056","34.9105026316847","33.5039177277179","33.9067287066681","33.7114918477698","32.1912026066351","32.7571194604344","35.5448088257519","35.501376859728","33.1356885424306","40.8091994981709","42.4319365236796","43.1601490818154","44.9240631072879","48.0353567389483","48.1623050962153","58.6521072174004","58.1507270928829","78.1994209488793","72.7148097616712","63.1430144406715","61.7624396300313","72.7944327723761","76.0156728611077","90.2350197794946","93.4571492196747","92.0000308540247","86.0203761971216","",
"Argentina","ARG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","21.1392510247476","16.6059988579773","14.3101166943145","16.0176179468354","15.967859713929","15.1288752365402","15.9503697860632","18.4266744554408","20.4152214276336","20.8780873604572","22.9961680392878","18.0216983735412","22.6729620530187","23.2609282241113","26.0763792583239","22.1623210978758","19.0543200472184","22.4723059735896","24.5409673809812","25.867690550933","24.9557344123222","23.4115575468699","21.2428783892003","21.0259384418668","21.9747762099833","17.3033628652215","19.5847407377731","22.0526189016942","25.1476054816229","20.1046563194961","11.4810946772859","10.5567775609245","13.6914371927742","19.2186233404674","20.7702889993785","20.1412713745498","22.6904801492561","26.4701846280975","28.650684859336","31.44367758524","31.8486210586349","27.1392515912455","27.9270695501951","30.1040572265399","28.3256464652642","28.6633102803828","28.0496119297007","27.8643164271472","23.4936731580619","25.3227384656624","25.3131020043081","24.3288225735623","27.094656616163","27.1268661534912","25.7525433121082","27.64080836914","28.3138847636905","28.4702009047643","","",
"Armenia","ARM","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.8720506818402","69.1137816170074","13.0974112608503","7.70715371562187","8.22291222713919","8.73356320859035","10.052218423345","11.0846117712931","14.7045108640783","13.4496484249285","15.5515985078589","14.3919593551431","14.9869807725944","16.29839156809","18.2869798220067","21.9523992829099","19.8358366931835","25.9414625160401","26.3390937683362","29.8304506454222","31.5569524364009","33.9221954954342","34.6722961325568","36.79245528668","43.0229257525026","46.4154242411359","46.2126280104835","",
"American Samoa","ASM","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
